Region,Period,scen_0a,scen_0b,scen_1a,scen_1b,scen_2a,scen_2b,scen_3a,scen_3b,
Geogrup,April_June,0.7892,0.0000,1.5271,0.0000,1.7025,0.0000,2.3863,0.0102,
Geogrup,July_Sept,0.2368,2.5688,0.1542,2.5394,0.1425,3.5008,0.2879,2.8944,
Geogrup,Oct_Dec,3.2945,5.6877,3.5000,5.6350,4.9543,9.1029,7.4160,8.8311,
Geogrup,Jan_Mar,7.2119,1.9491,8.7277,3.5329,8.6614,3.4829,13.1598,4.8155,
Serpentine_Lower,April_June,0.0000,0.0000,0.0000,0.0000,0.0098,0.0000,0.6706,0.0000,
Serpentine_Lower,July_Sept,0.2099,0.7028,0.1972,1.0174,0.4521,1.8349,0.2791,1.3187,
Serpentine_Lower,Oct_Dec,5.0180,3.3458,4.0336,3.5009,5.9855,7.5647,7.1678,6.5142,
Serpentine_Lower,Jan_Mar,0.3465,0.0000,0.0638,0.0000,0.0297,0.0000,1.5868,0.0000,
Murray_Mid,April_June,0.0050,0.0000,0.0000,0.0188,0.0175,0.1133,0.0177,0.3829,
Murray_Mid,July_Sept,0.0000,0.0080,0.0000,0.0000,0.0000,0.0851,0.0000,0.1730,
Murray_Mid,Oct_Dec,2.8996,7.0623,7.5174,8.0472,8.1846,12.2818,13.6610,16.9047,
Murray_Mid,Jan_Mar,7.4461,0.0337,9.8371,0.1437,10.0226,0.1887,10.9081,0.3185,
Murray_Delta,April_June,0.0899,0.0000,0.0360,0.0000,0.0753,0.0000,0.0939,0.0000,
Murray_Delta,July_Sept,0.3374,0.7691,1.2317,0.8363,2.5503,1.2567,3.0599,1.5356,
Murray_Delta,Oct_Dec,3.2459,1.1156,3.0998,1.4667,3.5343,1.7001,4.2467,1.9818,
Murray_Delta,Jan_Mar,1.5405,0.0000,0.7428,0.0000,0.7444,0.0000,0.8153,0.0000,
Peel_East,April_June,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Peel_East,July_Sept,0.3919,0.0889,0.4490,0.1148,1.4961,0.1668,1.8741,0.2069,
Peel_East,Oct_Dec,0.6179,0.0194,0.3982,0.0452,0.5740,0.0523,0.6970,0.0634,
Peel_East,Jan_Mar,0.0820,0.0000,0.0228,0.0000,0.0217,0.0000,0.0256,0.0000,
Peel_South,April_June,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Peel_South,July_Sept,0.4829,0.0000,0.2894,0.0000,0.2749,0.0000,0.4740,0.0001,
Peel_South,Oct_Dec,0.4436,0.0000,0.2322,0.0000,0.2167,0.0000,0.3206,0.0000,
Peel_South,Jan_Mar,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Peel_North,April_June,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Peel_North,July_Sept,0.1119,0.0000,0.1730,0.0042,0.3637,0.0066,0.4384,0.0115,
Peel_North,Oct_Dec,0.1184,0.0000,0.0186,0.0000,0.0181,0.0000,0.0284,0.0000,
Peel_North,Jan_Mar,0.0019,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Dawesville_Cut,April_June,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Dawesville_Cut,July_Sept,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Dawesville_Cut,Oct_Dec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Dawesville_Cut,Jan_Mar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Harvey_North,April_June,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Harvey_North,July_Sept,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Harvey_North,Oct_Dec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Harvey_North,Jan_Mar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Harvey_South,April_June,0.0093,0.0020,0.0038,0.0022,0.0033,0.0030,0.0041,0.0030,
Harvey_South,July_Sept,0.1569,0.0008,0.0650,0.0004,0.3153,0.0018,0.3335,0.0018,
Harvey_South,Oct_Dec,0.1358,0.0064,0.1598,0.0052,0.2132,0.0072,0.2461,0.0074,
Harvey_South,Jan_Mar,0.0054,0.0023,0.0017,0.0015,0.0024,0.0022,0.0026,0.0022,
