Polygon,Season,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_PHY_TCHLA,
Geogrup,April_June,1.4750,0.4472,5.2137,
Geogrup,July_Sept,2.4380,0.2452,0.9896,
Geogrup,Oct_Dec,2.1104,0.2878,0.9407,
Geogrup,Jan_Mar,2.6390,0.5390,3.3548,
Serpentine_Lower,April_June,1.2253,0.2073,12.5241,
Serpentine_Lower,July_Sept,2.1118,0.1683,0.8472,
Serpentine_Lower,Oct_Dec,1.3257,0.1203,6.9945,
Serpentine_Lower,Jan_Mar,1.5828,0.1859,23.9785,
Murray_Mid,April_June,0.7873,0.0486,8.7448,
Murray_Mid,July_Sept,0.8697,0.0306,2.3071,
Murray_Mid,Oct_Dec,0.5645,0.0128,3.3460,
Murray_Mid,Jan_Mar,0.8927,0.0337,11.1392,
Murray_Delta,April_June,0.8847,0.0994,14.3921,
Murray_Delta,July_Sept,1.0048,0.0513,1.8405,
Murray_Delta,Oct_Dec,0.7447,0.0552,14.0615,
Murray_Delta,Jan_Mar,1.3716,0.1374,35.5635,
Peel_East,April_June,0.7190,0.0873,13.0523,
Peel_East,July_Sept,0.8443,0.0449,1.6925,
Peel_East,Oct_Dec,0.6827,0.0553,13.7843,
Peel_East,Jan_Mar,1.3758,0.1517,38.8836,
Peel_South,April_June,0.8694,0.1189,12.4307,
Peel_South,July_Sept,0.7063,0.0447,1.9969,
Peel_South,Oct_Dec,0.7624,0.0647,11.1156,
Peel_South,Jan_Mar,1.4849,0.1678,32.1683,
Peel_North,April_June,0.5312,0.0671,7.9250,
Peel_North,July_Sept,0.6168,0.0335,1.3342,
Peel_North,Oct_Dec,0.4938,0.0382,6.9785,
Peel_North,Jan_Mar,1.1241,0.1234,28.1136,
Dawesville_Cut,April_June,0.3462,0.0453,5.0872,
Dawesville_Cut,July_Sept,0.3426,0.0251,1.4515,
Dawesville_Cut,Oct_Dec,0.2162,0.0225,1.9546,
Dawesville_Cut,Jan_Mar,0.5616,0.0706,17.1090,
Harvey_North,April_June,0.7843,0.0990,16.0310,
Harvey_North,July_Sept,0.7419,0.0577,3.5417,
Harvey_North,Oct_Dec,0.4862,0.0408,7.5365,
Harvey_North,Jan_Mar,1.1079,0.1279,33.1152,
Harvey_South,April_June,2.1454,0.2266,51.5596,
Harvey_South,July_Sept,1.3535,0.0881,4.2978,
Harvey_South,Oct_Dec,0.9761,0.0721,16.4260,
Harvey_South,Jan_Mar,2.2227,0.2339,61.1385,
