Region,Period,scen_0a,scen_0b,scen_1a,scen_1b,scen_2a,scen_2b,scen_3a,scen_3b,
Geogrup,April_June,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Geogrup,July_Sept,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Geogrup,Oct_Dec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Geogrup,Jan_Mar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Serpentine_Lower,April_June,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Serpentine_Lower,July_Sept,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Serpentine_Lower,Oct_Dec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Serpentine_Lower,Jan_Mar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Murray_Mid,April_June,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Murray_Mid,July_Sept,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Murray_Mid,Oct_Dec,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Murray_Mid,Jan_Mar,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Murray_Delta,April_June,8.0086,12.3595,13.1965,13.7460,13.2434,13.7615,13.1579,13.7478,
Murray_Delta,July_Sept,0.0010,5.5175,0.0316,5.9433,0.0692,5.9230,0.0227,5.5380,
Murray_Delta,Oct_Dec,8.9671,18.4199,13.4678,18.1609,14.0027,18.2012,13.3472,18.1164,
Murray_Delta,Jan_Mar,10.4947,16.9271,15.9431,17.0029,16.0609,17.0296,15.9316,16.9907,
Peel_East,April_June,58.2108,60.3312,66.8402,66.2242,67.0625,66.3237,67.3029,66.6204,
Peel_East,July_Sept,0.3121,35.3960,2.0260,39.3868,3.4975,39.3598,1.7688,38.4193,
Peel_East,Oct_Dec,65.0760,86.2715,72.9547,86.2628,74.6898,86.3332,72.3825,86.1602,
Peel_East,Jan_Mar,76.5433,85.3817,85.4332,85.6460,85.6359,85.7365,85.7412,85.9084,
Peel_South,April_June,16.8241,37.9269,39.7986,42.2683,39.8772,42.3310,40.1780,42.4588,
Peel_South,July_Sept,0.2889,11.0568,0.4536,14.5595,0.5846,14.5497,0.4357,13.6463,
Peel_South,Oct_Dec,23.8787,67.8532,51.6447,67.0177,53.7511,67.1963,52.3581,67.2861,
Peel_South,Jan_Mar,21.0121,52.6696,54.4234,53.1229,54.7001,53.1893,54.8061,53.3497,
Peel_North,April_June,40.8918,45.9114,49.9832,50.6096,50.3249,50.7571,50.3494,51.0857,
Peel_North,July_Sept,3.5829,25.2677,5.7400,32.7980,6.7559,32.7779,5.5970,32.2179,
Peel_North,Oct_Dec,57.7104,73.0909,65.0202,73.0410,66.2064,73.1321,64.8590,73.2472,
Peel_North,Jan_Mar,52.7313,62.9976,63.8385,62.5617,64.1545,62.7247,64.3741,62.9093,
Dawesville_Cut,April_June,53.6055,57.1658,58.6318,60.2384,58.6961,60.2329,58.7074,60.2849,
Dawesville_Cut,July_Sept,36.9999,47.7357,45.4218,50.7350,46.3107,50.7404,45.4228,50.7527,
Dawesville_Cut,Oct_Dec,60.9671,63.0159,63.0134,63.0907,63.0528,63.0981,63.0211,63.1065,
Dawesville_Cut,Jan_Mar,57.1594,61.2769,61.8183,61.4412,61.6912,61.2688,61.6916,61.2801,
Harvey_North,April_June,49.2468,53.6808,54.4606,60.2379,53.7990,59.2391,53.5382,59.2301,
Harvey_North,July_Sept,21.2895,33.6697,27.0889,42.1562,28.6904,42.0701,26.8110,41.9925,
Harvey_North,Oct_Dec,75.1623,77.2683,77.0326,77.8411,76.8882,77.4187,76.6670,77.4352,
Harvey_North,Jan_Mar,71.4907,74.6271,75.5044,75.1713,74.7040,74.4964,74.8403,74.5033,
Harvey_South,April_June,51.7808,61.4209,64.2257,67.5068,64.2147,67.1440,63.8815,67.1517,
Harvey_South,July_Sept,1.3556,24.8750,2.1609,30.6986,2.8314,30.6496,2.0747,30.3746,
Harvey_South,Oct_Dec,53.7098,85.4042,74.8591,85.5797,75.8474,85.4411,74.6743,85.2719,
Harvey_South,Jan_Mar,69.0876,92.3120,91.4772,92.4030,90.9124,91.7937,90.9002,91.7764,
