Polygon,Season,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_PHY_TCHLA,
Geogrup,April_June,1.1183,0.4576,9.1728,
Geogrup,July_Sept,1.2007,0.1820,0.8188,
Geogrup,Oct_Dec,1.3456,0.1575,2.6123,
Geogrup,Jan_Mar,1.6949,0.4389,6.0367,
Serpentine_Lower,April_June,0.9356,0.1823,16.5606,
Serpentine_Lower,July_Sept,0.9737,0.1255,2.2994,
Serpentine_Lower,Oct_Dec,1.0547,0.0967,18.9871,
Serpentine_Lower,Jan_Mar,1.5056,0.2175,41.0109,
Murray_Mid,April_June,0.6947,0.0503,7.3915,
Murray_Mid,July_Sept,0.7221,0.0158,2.0485,
Murray_Mid,Oct_Dec,0.5650,0.0201,7.1252,
Murray_Mid,Jan_Mar,1.2706,0.0732,18.0408,
Murray_Delta,April_June,0.7416,0.0945,14.9918,
Murray_Delta,July_Sept,0.6647,0.0501,5.9070,
Murray_Delta,Oct_Dec,0.9387,0.0945,31.0735,
Murray_Delta,Jan_Mar,1.5085,0.1881,57.8074,
Peel_East,April_June,0.6450,0.0848,14.5381,
Peel_East,July_Sept,0.5692,0.0536,8.4372,
Peel_East,Oct_Dec,0.9431,0.1005,33.1709,
Peel_East,Jan_Mar,1.4077,0.1838,56.2046,
Peel_South,April_June,0.9571,0.1383,22.7341,
Peel_South,July_Sept,0.7291,0.0893,18.4250,
Peel_South,Oct_Dec,1.0089,0.1160,28.9104,
Peel_South,Jan_Mar,1.7749,0.2475,72.0033,
Peel_North,April_June,0.5059,0.0658,9.4143,
Peel_North,July_Sept,0.4251,0.0429,7.3220,
Peel_North,Oct_Dec,0.7398,0.0777,21.3786,
Peel_North,Jan_Mar,0.9249,0.1187,24.7936,
Dawesville_Cut,April_June,0.2909,0.0396,5.0017,
Dawesville_Cut,July_Sept,0.2626,0.0314,4.2846,
Dawesville_Cut,Oct_Dec,0.3768,0.0461,9.3651,
Dawesville_Cut,Jan_Mar,0.4619,0.0626,15.3887,
Harvey_North,April_June,0.6614,0.0868,14.1322,
Harvey_North,July_Sept,0.6499,0.0777,10.5127,
Harvey_North,Oct_Dec,0.7468,0.0828,23.1455,
Harvey_North,Jan_Mar,1.0426,0.1360,32.3640,
Harvey_South,April_June,1.8742,0.2166,51.5297,
Harvey_South,July_Sept,1.2322,0.1066,14.8222,
Harvey_South,Oct_Dec,1.4975,0.1499,51.3564,
Harvey_South,Jan_Mar,2.6349,0.3179,96.8417,
