Polygon,Season,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_PHY_TCHLA,
Geogrup,April_June,1.1435,0.4027,2.7174,
Geogrup,July_Sept,1.6652,0.0878,0.8807,
Geogrup,Oct_Dec,1.4986,0.1346,1.3256,
Geogrup,Jan_Mar,1.7396,0.3547,2.5080,
Serpentine_Lower,April_June,0.9269,0.1875,10.7111,
Serpentine_Lower,July_Sept,1.3855,0.0691,0.9223,
Serpentine_Lower,Oct_Dec,1.1051,0.0835,11.2921,
Serpentine_Lower,Jan_Mar,1.4289,0.1975,24.1815,
Murray_Mid,April_June,0.7653,0.0390,6.7042,
Murray_Mid,July_Sept,0.8100,0.0126,2.2195,
Murray_Mid,Oct_Dec,0.6078,0.0128,4.1998,
Murray_Mid,Jan_Mar,0.9369,0.0390,10.8379,
Murray_Delta,April_June,0.7802,0.0878,13.5290,
Murray_Delta,July_Sept,0.8071,0.0279,2.3556,
Murray_Delta,Oct_Dec,0.9011,0.0780,26.4096,
Murray_Delta,Jan_Mar,1.3561,0.1500,43.3485,
Peel_East,April_June,0.6759,0.0830,13.8111,
Peel_East,July_Sept,0.6766,0.0313,2.9383,
Peel_East,Oct_Dec,0.9064,0.0885,30.3832,
Peel_East,Jan_Mar,1.3541,0.1606,47.4063,
Peel_South,April_June,0.9363,0.1283,21.4878,
Peel_South,July_Sept,0.6619,0.0471,4.7185,
Peel_South,Oct_Dec,1.0493,0.1162,32.5889,
Peel_South,Jan_Mar,1.6274,0.2153,60.7370,
Peel_North,April_June,0.5303,0.0669,9.4081,
Peel_North,July_Sept,0.5047,0.0292,2.8760,
Peel_North,Oct_Dec,0.7361,0.0725,21.9904,
Peel_North,Jan_Mar,1.0869,0.1261,31.2828,
Dawesville_Cut,April_June,0.3083,0.0410,5.1859,
Dawesville_Cut,July_Sept,0.3229,0.0271,3.0712,
Dawesville_Cut,Oct_Dec,0.3676,0.0429,9.2019,
Dawesville_Cut,Jan_Mar,0.4874,0.0633,16.0071,
Harvey_North,April_June,0.7218,0.0925,14.8475,
Harvey_North,July_Sept,0.6884,0.0603,9.0249,
Harvey_North,Oct_Dec,0.6287,0.0655,19.6270,
Harvey_North,Jan_Mar,0.9552,0.1211,28.8185,
Harvey_South,April_June,1.8587,0.2014,47.9845,
Harvey_South,July_Sept,1.2126,0.0711,9.4708,
Harvey_South,Oct_Dec,1.1418,0.1003,33.4061,
Harvey_South,Jan_Mar,2.2258,0.2666,79.5644,
