Polygon,Season,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_PHY_TCHLA,
Geogrup,April_June,1.1321,0.4462,4.2522,
Geogrup,July_Sept,3.2404,0.5022,0.6531,
Geogrup,Oct_Dec,4.0171,0.5971,2.6026,
Geogrup,Jan_Mar,3.6470,0.7317,4.9796,
Serpentine_Lower,April_June,0.8891,0.1809,12.2754,
Serpentine_Lower,July_Sept,1.8937,0.2512,2.0171,
Serpentine_Lower,Oct_Dec,1.7710,0.1982,16.8869,
Serpentine_Lower,Jan_Mar,1.9264,0.2665,36.9395,
Murray_Mid,April_June,0.7327,0.0592,7.2788,
Murray_Mid,July_Sept,1.0512,0.0584,2.1826,
Murray_Mid,Oct_Dec,0.6386,0.0315,8.6490,
Murray_Mid,Jan_Mar,1.2779,0.0779,18.7597,
Murray_Delta,April_June,0.7464,0.0966,14.3913,
Murray_Delta,July_Sept,0.9463,0.0834,5.9947,
Murray_Delta,Oct_Dec,1.0989,0.1103,29.8967,
Murray_Delta,Jan_Mar,1.5728,0.1934,56.1347,
Peel_East,April_June,0.6468,0.0858,14.2533,
Peel_East,July_Sept,0.7558,0.0740,8.6253,
Peel_East,Oct_Dec,1.0852,0.1131,32.1921,
Peel_East,Jan_Mar,1.4547,0.1869,54.2854,
Peel_South,April_June,0.9623,0.1391,23.0606,
Peel_South,July_Sept,0.8195,0.0965,18.1232,
Peel_South,Oct_Dec,1.1283,0.1254,28.9812,
Peel_South,Jan_Mar,1.7963,0.2473,69.5539,
Peel_North,April_June,0.5088,0.0663,9.5200,
Peel_North,July_Sept,0.5301,0.0531,7.6803,
Peel_North,Oct_Dec,0.8354,0.0852,20.9976,
Peel_North,Jan_Mar,0.9444,0.1193,24.3563,
Dawesville_Cut,April_June,0.2956,0.0402,5.1841,
Dawesville_Cut,July_Sept,0.2914,0.0339,4.5138,
Dawesville_Cut,Oct_Dec,0.4038,0.0485,9.5396,
Dawesville_Cut,Jan_Mar,0.4738,0.0640,15.8597,
Harvey_North,April_June,0.6863,0.0883,14.8318,
Harvey_North,July_Sept,0.6790,0.0787,10.6680,
Harvey_North,Oct_Dec,0.7905,0.0861,23.0415,
Harvey_North,Jan_Mar,1.0880,0.1403,34.3936,
Harvey_South,April_June,1.8934,0.2166,51.5992,
Harvey_South,July_Sept,1.3258,0.1178,15.3591,
Harvey_South,Oct_Dec,1.5538,0.1537,49.7057,
Harvey_South,Jan_Mar,2.6523,0.3153,95.8477,
