Polygon,Season,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_PHY_TCHLA,
Geogrup,April_June,1.4240,0.3437,19.1382,
Geogrup,July_Sept,1.7922,0.2670,1.3160,
Geogrup,Oct_Dec,2.0029,0.2570,3.0345,
Geogrup,Jan_Mar,2.2306,0.4073,7.0899,
Serpentine_Lower,April_June,1.1613,0.1640,23.9182,
Serpentine_Lower,July_Sept,1.4427,0.1763,3.2921,
Serpentine_Lower,Oct_Dec,1.3690,0.1308,21.0129,
Serpentine_Lower,Jan_Mar,1.5997,0.2036,43.2357,
Murray_Mid,April_June,0.7420,0.0558,8.6421,
Murray_Mid,July_Sept,0.7978,0.0322,2.2791,
Murray_Mid,Oct_Dec,0.6019,0.0260,8.7742,
Murray_Mid,Jan_Mar,1.3246,0.0785,20.0479,
Murray_Delta,April_June,0.7608,0.0932,15.9477,
Murray_Delta,July_Sept,0.7673,0.0640,6.3874,
Murray_Delta,Oct_Dec,1.0253,0.1033,32.0391,
Murray_Delta,Jan_Mar,1.5295,0.1876,58.3240,
Peel_East,April_June,0.6356,0.0821,14.6695,
Peel_East,July_Sept,0.6357,0.0615,8.7891,
Peel_East,Oct_Dec,1.0127,0.1071,33.3305,
Peel_East,Jan_Mar,1.4022,0.1817,55.7682,
Peel_South,April_June,0.9311,0.1350,21.9655,
Peel_South,July_Sept,0.7521,0.0930,18.1230,
Peel_South,Oct_Dec,1.0440,0.1190,28.4352,
Peel_South,Jan_Mar,1.7736,0.2454,72.0485,
Peel_North,April_June,0.4881,0.0636,9.2239,
Peel_North,July_Sept,0.4586,0.0465,7.5150,
Peel_North,Oct_Dec,0.7776,0.0808,21.0010,
Peel_North,Jan_Mar,0.9076,0.1164,24.2992,
Dawesville_Cut,April_June,0.2844,0.0388,4.9277,
Dawesville_Cut,July_Sept,0.2589,0.0312,4.1777,
Dawesville_Cut,Oct_Dec,0.3903,0.0476,9.7967,
Dawesville_Cut,Jan_Mar,0.4656,0.0630,15.7401,
Harvey_North,April_June,0.6623,0.0849,14.3753,
Harvey_North,July_Sept,0.6616,0.0770,10.4682,
Harvey_North,Oct_Dec,0.8066,0.0874,23.6387,
Harvey_North,Jan_Mar,1.0955,0.1403,34.9824,
Harvey_South,April_June,1.8507,0.2131,51.8244,
Harvey_South,July_Sept,1.3016,0.1156,15.0033,
Harvey_South,Oct_Dec,1.5884,0.1565,51.1477,
Harvey_South,Jan_Mar,2.6870,0.3175,97.3031,
