Polygon,Season,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_PHY_TCHLA,
Geogrup,April_June,1.4994,0.4605,2.5927,
Geogrup,July_Sept,5.3749,0.6929,0.8955,
Geogrup,Oct_Dec,4.6364,0.6677,1.9149,
Geogrup,Jan_Mar,3.6210,0.6934,2.4618,
Serpentine_Lower,April_June,0.9863,0.2076,10.2042,
Serpentine_Lower,July_Sept,3.1632,0.3317,0.9036,
Serpentine_Lower,Oct_Dec,2.0500,0.2335,9.8500,
Serpentine_Lower,Jan_Mar,1.8685,0.2719,21.5690,
Murray_Mid,April_June,0.8915,0.0635,6.4066,
Murray_Mid,July_Sept,1.1902,0.0639,2.3070,
Murray_Mid,Oct_Dec,0.6275,0.0264,5.5927,
Murray_Mid,Jan_Mar,0.9311,0.0432,11.0034,
Murray_Delta,April_June,0.8402,0.0984,13.2940,
Murray_Delta,July_Sept,1.3431,0.0958,2.6692,
Murray_Delta,Oct_Dec,1.1007,0.1021,25.2269,
Murray_Delta,Jan_Mar,1.4091,0.1566,41.0193,
Peel_East,April_June,0.7077,0.0881,13.7893,
Peel_East,July_Sept,1.1079,0.0807,3.5160,
Peel_East,Oct_Dec,1.1009,0.1077,29.4974,
Peel_East,Jan_Mar,1.4018,0.1652,45.0672,
Peel_South,April_June,0.9618,0.1320,21.9165,
Peel_South,July_Sept,0.9068,0.0698,5.6552,
Peel_South,Oct_Dec,1.2188,0.1293,32.9873,
Peel_South,Jan_Mar,1.6670,0.2179,59.0687,
Peel_North,April_June,0.5447,0.0686,9.5848,
Peel_North,July_Sept,0.7905,0.0572,3.5833,
Peel_North,Oct_Dec,0.8797,0.0853,21.7714,
Peel_North,Jan_Mar,1.1199,0.1282,30.0633,
Dawesville_Cut,April_June,0.3184,0.0422,5.4240,
Dawesville_Cut,July_Sept,0.4187,0.0357,3.5598,
Dawesville_Cut,Oct_Dec,0.4155,0.0473,9.4693,
Dawesville_Cut,Jan_Mar,0.5064,0.0653,16.4937,
Harvey_North,April_June,0.7525,0.0947,15.6834,
Harvey_North,July_Sept,0.7836,0.0698,9.6322,
Harvey_North,Oct_Dec,0.6988,0.0714,19.6851,
Harvey_North,Jan_Mar,1.0212,0.1278,31.1766,
Harvey_South,April_June,1.8934,0.2053,48.0614,
Harvey_South,July_Sept,1.3858,0.0987,10.2979,
Harvey_South,Oct_Dec,1.2342,0.1097,32.5943,
Harvey_South,Jan_Mar,2.2503,0.2656,78.1154,
