Polygon,Season,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_DIAG_PHY_TCHLA,
Geogrup,April_June,1.2674,0.4191,9.6024,
Geogrup,July_Sept,3.3819,0.5108,0.8368,
Geogrup,Oct_Dec,4.1812,0.5952,3.5620,
Geogrup,Jan_Mar,3.7571,0.7055,6.1263,
Serpentine_Lower,April_June,0.9930,0.1753,16.9933,
Serpentine_Lower,July_Sept,2.0050,0.2577,2.4130,
Serpentine_Lower,Oct_Dec,1.8447,0.1987,19.2802,
Serpentine_Lower,Jan_Mar,1.9739,0.2625,40.8577,
Murray_Mid,April_June,0.7153,0.0573,7.6494,
Murray_Mid,July_Sept,0.7849,0.0321,2.2069,
Murray_Mid,Oct_Dec,0.5967,0.0273,8.6714,
Murray_Mid,Jan_Mar,1.2925,0.0795,19.6303,
Murray_Delta,April_June,0.7555,0.0963,15.2541,
Murray_Delta,July_Sept,0.8512,0.0753,6.3484,
Murray_Delta,Oct_Dec,1.0933,0.1111,31.2257,
Murray_Delta,Jan_Mar,1.5894,0.1961,57.8529,
Peel_East,April_June,0.6515,0.0855,14.7021,
Peel_East,July_Sept,0.7131,0.0710,9.0568,
Peel_East,Oct_Dec,1.0818,0.1142,33.2215,
Peel_East,Jan_Mar,1.4661,0.1891,55.7862,
Peel_South,April_June,0.9651,0.1395,23.1241,
Peel_South,July_Sept,0.7960,0.0972,19.1721,
Peel_South,Oct_Dec,1.1079,0.1247,28.8923,
Peel_South,Jan_Mar,1.8209,0.2514,71.9073,
Peel_North,April_June,0.5096,0.0662,9.5950,
Peel_North,July_Sept,0.5109,0.0522,7.9453,
Peel_North,Oct_Dec,0.8300,0.0858,21.4156,
Peel_North,Jan_Mar,0.9495,0.1207,24.8240,
Dawesville_Cut,April_June,0.2952,0.0401,5.1798,
Dawesville_Cut,July_Sept,0.2819,0.0334,4.5284,
Dawesville_Cut,Oct_Dec,0.4010,0.0485,9.5697,
Dawesville_Cut,Jan_Mar,0.4758,0.0643,15.9913,
Harvey_North,April_June,0.6864,0.0883,14.8313,
Harvey_North,July_Sept,0.6800,0.0792,10.7171,
Harvey_North,Oct_Dec,0.7902,0.0863,23.1692,
Harvey_North,Jan_Mar,1.0913,0.1409,34.6071,
Harvey_South,April_June,1.8937,0.2166,51.6043,
Harvey_South,July_Sept,1.3265,0.1179,15.3794,
Harvey_South,Oct_Dec,1.5590,0.1546,50.2417,
Harvey_South,Jan_Mar,2.6613,0.3166,96.3535,
