Name,Pt,Type,ID
EAS_00_KM,PT55,Long,25
EAS_01_KM,PT56,Long,24
EAS_02_KM,PT57,Long,23
EAS_03_KM,PT58,Long,22
EAS_04_KM,PT59,Long,21
EAS_05_KM,PT60,Long,20
EAS_07_KM,PT61,Long,19
EAS_08_KM,PT62,Long,18
EAS_09_KM,PT63,Long,17
EAS_10_KM,PT64,Long,16
EAS_11_KM,PT65,Long,15
EAS_12_KM,PT66,Long,14
EAS_13_KM,PT67,Long,13
EAS_14_KM,PT68,Long,12
EAS_15_KM,PT69,Long,11
EAS_16_KM,PT70,Long,10
EAS_17_KM,PT71,Long,9
EAS_18_KM,PT72,Long,8
EAS_19_KM,PT73,Long,7
EAS_20_KM,PT74,Long,6
EAS_21_KM,PT75,Long,5
EAS_22_KM,PT76,Long,4
EAS_23_KM,PT77,Long,3
EAS_24_KM,PT78,Long,2
EAS_25_KM,PT79,Long,1
EAS_26_KM,PT80,Long,0
EAS_01p3_KM,PT98,TS,NaN
EAS_01p8_KM,PT99,TS,NaN
EAS_02p3_KM,PT100,TS,NaN
EAS_02p5_KM,PT101,TS,NaN
EAS_02p7_KM,PT102,TS,NaN
EAS_03p3_KM,PT103,TS,NaN
EAS_02p1_KM,PT104,TS,NaN
